InputSize,S,AverageComparisons,AverageTime
3200,18,34435,0.000000
3200,19,34415,0.000000
3200,20,34261,0.000000
3200,21,34394,0.000000
3200,22,34352,0.000000
3200,23,34391,0.000000
3200,24,34290,0.000000
3200,25,41262,0.000000
3200,26,41534,0.000000
3200,27,41501,0.000000
3200,28,41308,0.000000
3200,29,41237,0.000000
3200,30,41441,0.000000
3200,31,41309,0.000000
3200,32,41635,0.005000
3200,33,41260,0.000000
3200,34,41150,0.000000
3200,35,41511,0.000000
3200,36,41268,0.000000
3200,37,41495,0.000000
3200,38,41326,0.000000
3200,39,41510,0.000000
3200,40,41320,0.000000
3200,41,41285,0.000000
3200,42,41275,0.000000
3200,43,41497,0.000000
3200,44,41138,0.000000
3200,45,41246,0.000000
3200,46,41334,0.000000
3200,47,41250,0.005333
3200,48,40949,0.000000
3200,49,41448,0.000000
3200,50,58296,0.000000
3200,51,58650,0.000000
3200,52,58310,0.000000
3200,53,58329,0.000000
3200,54,58125,0.000000
3200,55,58382,0.000000
3200,56,57984,0.000000
3200,57,58330,0.000000
3200,58,57762,0.000000
3200,59,58515,0.000000
3200,60,58175,0.000000
3200,61,58449,0.000000
3200,62,58535,0.005333
3200,63,57934,0.000000
3200,64,58954,0.000000
3200,65,58476,0.000000
3200,66,58300,0.000000
3200,67,58423,0.000000
3200,68,58675,0.000000
3200,69,58714,0.000000
3200,70,58781,0.000000
3200,71,58696,0.000000
3200,72,58587,0.000000
3200,73,57924,0.000000
3200,74,58612,0.000000
3200,75,58211,0.000000
3200,76,58373,0.000000
3200,77,58051,0.005000
3200,78,57933,0.000000
3200,79,57987,0.000000
3200,80,58358,0.000000
3200,81,58463,0.000000
3200,82,57880,0.000000
3200,83,57855,0.000000
3200,84,58115,0.000000
3200,85,57930,0.000000
3200,86,58444,0.000000
3200,87,58275,0.000000
3200,88,58414,0.000000
3200,89,58035,0.000000
3200,90,58051,0.000000
3200,91,58018,0.000000
3200,92,58298,0.005333
3200,93,58553,0.000000
3200,94,58583,0.000000
3200,95,58410,0.000000
3200,96,58343,0.000000
3200,97,58166,0.000000
3200,98,58157,0.000000
3200,99,58234,0.000000
3200,100,96012,0.000000
3200,101,96419,0.000000
3200,102,94667,0.000000
3200,103,94389,0.000000
3200,104,94571,0.000000
3200,105,95563,0.005000
3200,106,95592,0.000000
3200,107,94218,0.000000
3200,108,95638,0.000000
3200,109,95211,0.000000
3200,110,94950,0.000000
3200,111,94919,0.000000
3200,112,94820,0.000000
3200,113,95380,0.000000
3200,114,95250,0.000000
3200,115,94467,0.000000
3200,116,95737,0.000000
3200,117,94290,0.005333
3200,118,95591,0.000000
3200,119,95535,0.000000
3200,120,95031,0.000000
3200,121,95189,0.000000
3200,122,94473,0.000000
3200,123,94393,0.000000
3200,124,95341,0.000000
3200,125,94689,0.000000
3200,126,94568,0.000000
3200,127,95820,0.000333
3200,128,95495,0.000667
6400,1,72939,0.001667
6400,2,71812,0.000333
6400,3,70555,0.000000
6400,4,70432,0.000000
6400,5,70443,0.003333
6400,6,70291,0.000000
6400,7,70655,0.000000
6400,8,70549,0.000000
6400,9,70624,0.000000
6400,10,70530,0.000000
6400,11,70572,0.005333
6400,12,72601,0.000000
6400,13,74981,0.000000
6400,14,74920,0.000000
6400,15,75037,0.000000
6400,16,74946,0.000000
6400,17,74915,0.005333
6400,18,74928,0.000000
6400,19,75017,0.000000
6400,20,75125,0.000000
6400,21,74982,0.000000
6400,22,75038,0.000000
6400,23,75112,0.000000
6400,24,75102,0.005000
6400,25,89049,0.000000
6400,26,89080,0.000000
6400,27,89092,0.000000
6400,28,89225,0.000000
6400,29,89233,0.000000
6400,30,89128,0.000000
6400,31,88974,0.005333
6400,32,88843,0.000000
6400,33,89044,0.000000
6400,34,89235,0.000000
6400,35,89292,0.000000
6400,36,88885,0.000000
6400,37,88910,0.005000
6400,38,88601,0.000000
6400,39,89180,0.000000
6400,40,89312,0.000000
6400,41,88980,0.000000
6400,42,89081,0.000000
6400,43,89164,0.000000
6400,44,88478,0.005333
6400,45,88897,0.000000
6400,46,88793,0.000000
6400,47,89029,0.000000
6400,48,89213,0.000000
6400,49,88928,0.000000
6400,50,122793,0.000000
6400,51,123243,0.005333
6400,52,123249,0.000000
6400,53,122633,0.000000
6400,54,123133,0.000000
6400,55,122668,0.000000
6400,56,123210,0.000000
6400,57,122501,0.000000
6400,58,123111,0.005000
6400,59,123341,0.000000
6400,60,122935,0.000000
6400,61,122956,0.000000
6400,62,122472,0.000000
6400,63,122173,0.000000
6400,64,122892,0.000000
6400,65,122552,0.005333
6400,66,122199,0.000000
6400,67,122783,0.000000
6400,68,122953,0.000000
6400,69,122615,0.000000
6400,70,122505,0.000000
6400,71,122690,0.000000
6400,72,122605,0.000000
6400,73,122493,0.000000
6400,74,122729,0.000000
6400,75,123559,0.000000
6400,76,122989,0.000000
6400,77,122976,0.000000
6400,78,122828,0.005000
6400,79,122821,0.000000
6400,80,123513,0.000000
6400,81,122641,0.000000
6400,82,122927,0.000000
6400,83,123376,0.000000
6400,84,123051,0.000000
6400,85,122699,0.005333
6400,86,123055,0.000000
6400,87,123124,0.000000
6400,88,121980,0.000000
6400,89,123254,0.000000
6400,90,123001,0.000000
6400,91,122857,0.000000
6400,92,122441,0.000000
6400,93,122766,0.000000
6400,94,122845,0.000000
6400,95,122402,0.000000
6400,96,121839,0.005333
6400,97,122792,0.000000
6400,98,122610,0.000000
6400,99,123342,0.000000
6400,100,197086,0.000000
6400,101,196926,0.000000
6400,102,196232,0.005333
6400,103,197022,0.000000
6400,104,196213,0.000000
6400,105,196334,0.000000
6400,106,198142,0.000000
6400,107,196310,0.005000
6400,108,197073,0.000000
6400,109,195397,0.000000
6400,110,196715,0.000000
6400,111,197350,0.000000
6400,112,196458,0.005333
6400,113,196192,0.000000
6400,114,197250,0.000000
6400,115,196957,0.000000
6400,116,197042,0.000000
6400,117,195889,0.005333
6400,118,197169,0.000000
6400,119,195801,0.000000
6400,120,195731,0.000000
6400,121,198002,0.000000
6400,122,196228,0.000000
6400,123,196719,0.005000
6400,124,197721,0.000000
6400,125,195263,0.000000
6400,126,197225,0.000000
6400,127,196074,0.000000
6400,128,195983,0.005333
12800,1,158761,0.000000
12800,2,156458,0.005000
12800,3,154084,0.000000
12800,4,153642,0.005333
12800,5,153700,0.000000
12800,6,153544,0.000000
12800,7,153931,0.005333
12800,8,153972,0.000000
12800,9,153957,0.000000
12800,10,154007,0.005000
12800,11,154025,0.000000
12800,12,157883,0.005333
12800,13,162971,0.000000
12800,14,162913,0.000000
12800,15,162623,0.005333
12800,16,162970,0.000000
12800,17,162937,0.000000
12800,18,162927,0.005000
12800,19,162780,0.000000
12800,20,163125,0.000000
12800,21,162861,0.005333
12800,22,162836,0.000000
12800,23,162921,0.000000
12800,24,162831,0.005000
12800,25,190821,0.000000
12800,26,191181,0.000000
12800,27,190990,0.000000
12800,28,190609,0.000000
12800,29,190985,0.000000
12800,30,191154,0.000000
12800,31,191148,0.005333
12800,32,191364,0.000000
12800,33,190902,0.000000
12800,34,190918,0.005000
12800,35,191210,0.000000
12800,36,190600,0.000000
12800,37,191070,0.005333
12800,38,190980,0.000000
12800,39,191097,0.000000
12800,40,191110,0.000000
12800,41,190274,0.000000
12800,42,191293,0.000000
12800,43,190578,0.005000
12800,44,191448,0.000000
12800,45,191045,0.000000
12800,46,191372,0.000000
12800,47,190557,0.005333
12800,48,191233,0.000000
12800,49,190397,0.000000
12800,50,257787,0.005000
12800,51,257375,0.000000
12800,52,258283,0.000000
12800,53,258051,0.005333
12800,54,258761,0.000000
12800,55,259750,0.000000
12800,56,259004,0.000000
12800,57,258991,0.000000
12800,58,258272,0.000000
12800,59,258684,0.005000
12800,60,257920,0.000000
12800,61,258872,0.005333
12800,62,258044,0.000000
12800,63,257787,0.000000
12800,64,258727,0.005000
12800,65,258592,0.000000
12800,66,258450,0.005333
12800,67,258918,0.000000
12800,68,258559,0.000000
12800,69,259849,0.005333
12800,70,258700,0.000000
12800,71,258060,0.005000
12800,72,259603,0.000000
12800,73,258329,0.000000
12800,74,258339,0.005333
12800,75,258470,0.000000
12800,76,258027,0.000000
12800,77,258569,0.005333
12800,78,258727,0.000000
12800,79,259444,0.000000
12800,80,257762,0.005000
12800,81,258542,0.000000
12800,82,258282,0.000000
12800,83,258705,0.000000
12800,84,258447,0.000000
12800,85,258243,0.000000
12800,86,259619,0.005000
12800,87,258059,0.000000
12800,88,258700,0.005333
12800,89,258276,0.000000
12800,90,258237,0.005333
12800,91,258364,0.000000
12800,92,259349,0.005000
12800,93,258105,0.000000
12800,94,257152,0.005333
12800,95,258774,0.000000
12800,96,258296,0.000000
12800,97,259362,0.006333
12800,98,258166,0.002333
12800,99,257963,0.002000
12800,100,404507,0.000000
12800,101,403179,0.000000
12800,102,405832,0.005000
12800,103,403727,0.000000
12800,104,406886,0.005333
12800,105,408236,0.000000
12800,106,404506,0.005000
12800,107,406977,0.000000
12800,108,404401,0.005333
12800,109,406353,0.000000
12800,110,406587,0.005333
12800,111,405381,0.000000
12800,112,406441,0.000000
12800,113,406342,0.000000
12800,114,405096,0.000000
12800,115,404224,0.005000
12800,116,406364,0.000000
12800,117,406116,0.005333
12800,118,405434,0.000000
12800,119,407108,0.000000
12800,120,404852,0.000000
12800,121,404789,0.005000
12800,122,407827,0.000000
12800,123,406595,0.005333
12800,124,405315,0.000000
12800,125,407629,0.000000
12800,126,404285,0.005000
12800,127,406550,0.000000
12800,128,405881,0.005333
25600,1,342919,0.005333
25600,2,338391,0.005000
25600,3,333568,0.005333
25600,4,332836,0.005333
25600,5,332775,0.005000
25600,6,333052,0.005333
25600,7,333623,0.000000
25600,8,333580,0.005667
25600,9,333537,0.004667
25600,10,333610,0.005333
25600,11,333498,0.000000
25600,12,341653,0.005000
25600,13,351252,0.005333
25600,14,351274,0.000000
25600,15,351345,0.003333
25600,16,351319,0.002333
25600,17,351358,0.005000
25600,18,351276,0.005333
25600,19,351099,0.000000
25600,20,351278,0.005333
25600,21,351553,0.005000
25600,22,351590,0.000000
25600,23,351323,0.005333
25600,24,350966,0.000000
25600,25,407824,0.000000
25600,26,407634,0.005000
25600,27,408253,0.005333
25600,28,407727,0.000000
25600,29,407549,0.005000
25600,30,407517,0.000000
25600,31,407604,0.005333
25600,32,407365,0.005333
25600,33,406758,0.000000
25600,34,407234,0.005000
25600,35,408069,0.000000
25600,36,408484,0.005333
25600,37,407241,0.005333
25600,38,406818,0.000000
25600,39,407838,0.005000
25600,40,407530,0.005333
25600,41,407516,0.000000
25600,42,408477,0.005000
25600,43,407270,0.000000
25600,44,407136,0.005333
25600,45,408012,0.005333
25600,46,407073,0.000000
25600,47,407179,0.005000
25600,48,408019,0.005333
25600,49,407629,0.000000
25600,50,543197,0.005000
25600,51,542067,0.005333
25600,52,542512,0.000000
25600,53,542967,0.005333
25600,54,542114,0.000000
25600,55,543453,0.000000
25600,56,543572,0.005333
25600,57,543985,0.000000
25600,58,541039,0.005333
25600,59,542520,0.006333
25600,60,543110,0.002667
25600,61,542929,0.001333
25600,62,542180,0.005333
25600,63,543403,0.000000
25600,64,543059,0.005333
25600,65,542627,0.000000
25600,66,542423,0.000000
25600,67,542118,0.005333
25600,68,543324,0.005000
25600,69,542688,0.000000
25600,70,542868,0.005333
25600,71,542662,0.005333
25600,72,542190,0.000000
25600,73,543371,0.005000
25600,74,541540,0.005333
25600,75,542148,0.000000
25600,76,541218,0.005333
25600,77,541924,0.005000
25600,78,542263,0.000000
25600,79,542270,0.005333
25600,80,542972,0.005000
25600,81,543387,0.000000
25600,82,543902,0.005333
25600,83,542036,0.005333
25600,84,542385,0.000000
25600,85,541275,0.005000
25600,86,544173,0.005333
25600,87,544033,0.000000
25600,88,543987,0.005000
25600,89,543523,0.005333
